iso2,standardised_legal_form_orbis,national_legal_form_orbis
CG,Non profit organisations,Foundation
CH,Public limited companies,Limited company - AG/SA
CH,Partnerships,Cooperative company
CH,Public limited companies,Joint stock company
CH,Companies with unknown/unrecorded legal form,NA
CH,Non profit organisations,Foundation
CH,Private limited companies,Limited liability company - GmbH/SARL
CH,Non profit organisations,Association
CH,Other legal forms,Institute
CH,Public limited companies,Insurance stock company
CH,Public authorities,Corporate body
CH,Sole traders/proprietorships,Sole proprietorship
CH,Branches,Branch
CH,Public authorities,Public authority
CH,Partnerships,General partnership
CH,Foreign companies,Foreign company
CH,Partnerships,Limited partnership
CH,Sole traders/proprietorships,Non-commercial power of attorney/procuration
CH,Other legal forms,Community of property
CH,Other legal forms,Public cooperative company
CH,Private limited companies,"Limited company, simplified"
CH,Other legal forms,Fund
CH,Public authorities,Municipal administrative agency
CH,Other legal forms,Investment company with variable capital
CH,Public authorities,International organization
CH,Other legal forms,Mutual fund for investment
CH,Other legal forms,Open-ended investment company
CH,Other legal forms,Closed-ended investment company
CH,Other legal forms,Unlisted closed-ended investment company
CH,Partnerships,Limited partnership with share capital
CI,Companies with unknown/unrecorded legal form,NA
CI,Public limited companies,Limited company
CI,Public limited companies,Public limited company
CI,Private limited companies,Limited liability company
CI,Private limited companies,Private limited company
CI,Branches,Branch of a foreign company
CI,Partnerships,Cooperative society
CI,Sole traders/proprietorships,Sole trader
CI,Sole traders/proprietorships,Proprietorship company
CI,Partnerships,General partnership
CI,Non profit organisations,Association
CI,Non profit organisations,Foundation
CI,Public authorities,Public authority
CI,Branches,Branch
CI,Other legal forms,Establishment
CI,Partnerships,Limited partnership
CI,Other legal forms,Fund
CL,Private limited companies,Insurance company
CL,Private limited companies,Limited liability company - LTDA
CL,Public limited companies,Public limited company - SA
CL,Private limited companies,Bank
CL,Partnerships,Limited partnership by shares - SpA
CL,Companies with unknown/unrecorded legal form,NA
CL,Public authorities,Public authority
CL,Public limited companies,Insurance stock company
CL,Non profit organisations,Non profit company
CL,Foreign companies,Foreign company representation
CL,Other legal forms,Pension fund
CL,Partnerships,Limited partnership
CL,Other legal forms,De facto corporation
CL,Public authorities,Municipality
CL,Private limited companies,One-person company with limited liability
CL,Other legal forms,Hereditary association
CL,Public authorities,International organization
CL,Other legal forms,Closed-ended investment company
CL,Other legal forms,Investment fund
CL,Other legal forms,Unlisted closed-ended investment company
CL,Other legal forms,Open-ended investment company
CL,Other legal forms,Mutual fund
CL,Other legal forms,Fund
CL,Non profit organisations,Foundation
CL,Public limited companies,Public limited company with variable capital - SA
CL,Non profit organisations,Association
CL,Other legal forms,Private fund
CL,Branches,Branch
CL,Public limited companies,Joint stock company
CM,Companies with unknown/unrecorded legal form,NA
CM,Private limited companies,Limited liability company
CM,Public limited companies,Public limited company
CM,Sole traders/proprietorships,Personal firm
CM,Public authorities,Public authority
CM,Non profit organisations,Educational institution
CM,Private limited companies,One-person company with limited liability
CM,Other legal forms,Cooperative credit union
CM,Non profit organisations,Foundation
CM,Other legal forms,Economic interest group
CM,Non profit organisations,Health institution
CM,Non profit organisations,Non governmental organization
CM,Partnerships,Cooperative company
CM,Other legal forms,Real estate company
CM,Non profit organisations,Mutual company
CM,Partnerships,Limited partnership
CM,Non profit organisations,Association
CM,Other legal forms,Trade union
CM,Partnerships,General partnership
CM,Non profit organisations,Religious institution
CM,Branches,Branch
CM,Non profit organisations,Non profit organization
CM,Branches,Branch of a foreign company
CN,Private limited companies,Limited liability company
CN,Public limited companies,Joint stock company
CN,Companies with unknown/unrecorded legal form,NA
CN,Branches,Branch
CN,Other legal forms,State owned company
CN,Public limited companies,Insurance stock company
CN,Other legal forms,Unlimited liability company
CN,Private limited companies,Private limited liability company
CN,Other legal forms,Domestic company
CN,Private limited companies,Private company
CN,Other legal forms,Foreign company
CN,Private limited companies,State owned limited liability company
CN,Other legal forms,"Wholly HK, Macao or Taiwan owned company"
CN,Other legal forms,Sino-foreign joint venture
CN,Other legal forms,State owned associates
CN,Other legal forms,"HK, Macao and Taiwan invested company"
CN,Other legal forms,"Joint cooperative venture (HK, Macao or Taiwan)"
CN,Other legal forms,Collective company
CN,Private limited companies,One-person company
CN,Public limited companies,"Joint stock company - HK, Macao and Taiwan invested"
CN,Public limited companies,Joint stock company - foreign invested
CN,Other legal forms,Joint venture company
CN,Partnerships,Private partnership
CN,Partnerships,Sino-foreign cooperative company
CN,Partnerships,Joint stock cooperative company
CN,Other legal forms,State owned and collective company
CN,Other legal forms,Foreign invested company
CN,Other legal forms,Associates
CN,Sole traders/proprietorships,Sole proprietorship
CN,Public limited companies,Limited company
CN,Foreign companies,Representative office
CN,Branches,Representative office or branch office
CN,Sole traders/proprietorships,Individual in corporation
CN,Other legal forms,Unit trust
CN,Other legal forms,Household enterprise
CN,Other legal forms,Unlisted closed-ended investment company
CN,Other legal forms,Fund
CN,Other legal forms,Closed-ended investment company
CN,Private limited companies,Private limited company
CN,Private limited companies,Incorporated business
CN,Partnerships,Law firm
CO,Private limited companies,"Limited company, simplified - SAS"
CO,Public limited companies,Limited company - SA
CO,Public authorities,Local administration
CO,Public authorities,Central administration
CO,Companies with unknown/unrecorded legal form,NA
CO,Foreign companies,Foreign company
CO,Public limited companies,Public limited company
CO,Non profit organisations,Non profit association
CO,Other legal forms,Economic joint venture
CO,Private limited companies,Limited liability company - LTDA
CO,Partnerships,Limited partnership by shares - SCA
CO,Sole traders/proprietorships,Sole trader
CO,Sole traders/proprietorships,Sole proprietorship - EU
CO,Other legal forms,De facto corporation - SH
CO,Non profit organisations,Foundation
CO,Partnerships,Limited partnership - S en C
CO,Other legal forms,Workers' association - EAT
CO,Non profit organisations,Association
CO,Partnerships,General partnership
CO,Other legal forms,Agricultural company - SAT
CO,Other legal forms,Association of companies
CO,Partnerships,Civil company
CO,Other legal forms,Fund
CO,Branches,Branch
CO,Other legal forms,Federation
CO,Other legal forms,Open-ended investment company
CO,Public limited companies,Insurance stock company
CO,Other legal forms,Confederation
CO,Public authorities,Embassy or international organization
CR,Public limited companies,Limited company - SA
CR,Companies with unknown/unrecorded legal form,NA
CR,Public limited companies,Insurance stock company
CR,Other legal forms,School board
CR,Branches,Branch of a foreign company
CR,Foreign companies,Foreign company representation
CR,Other legal forms,Trade union
CR,Partnerships,Savings and credit cooperative company
CR,Non profit organisations,Religious institution
CR,Public authorities,Municipality
CR,Private limited companies,Limited liability company - SRL/LTDA
CR,Private limited companies,One-person company with limited liability
CR,Partnerships,Civil company
CR,Other legal forms,Condominium
CR,Non profit organisations,Public water utilities association
CR,Partnerships,Professional partnership
CR,Partnerships,Limited partnership
CR,Partnerships,General partnership
